SpatialDimType,SpatialDim,Dim1,TimeDim,NumericValue
COUNTRY,ISR,Male,2009,79.10267142
REGION,AMR,Male,2006,72.86747726
COUNTRY,SLB,Female,2015,67.79097179
COUNTRY,GTM,Both,2017,72.69594645
COUNTRY,OMN,Both,2021,72.47676726
COUNTRY,NAM,Female,2012,64.84655839
COUNTRY,HTI,Both,2009,60.74938385
COUNTRY,UKR,Male,2011,65.91106712
COUNTRY,MKD,Both,2018,76.46395817
COUNTRY,ARM,Both,2011,73.30611739
COUNTRY,NOR,Female,2007,82.44771862
COUNTRY,BDI,Male,2021,62.04709297
COUNTRY,MYS,Both,2007,74.43641055
COUNTRY,SLV,Male,2006,69.11700976
COUNTRY,BDI,Male,2012,59.59416128
COUNTRY,VUT,Male,2012,63.4428437
COUNTRY,BWA,Male,2020,62.68744327
COUNTRY,BWA,Male,2014,59.43840968
COUNTRY,PRY,Female,2010,77.52881852
COUNTRY,SUR,Male,2019,69.9886663
COUNTRY,PRT,Male,2018,78.02010294
COUNTRY,GUY,Both,2003,64.68058964
COUNTRY,JPN,Both,2000,81.5301793
COUNTRY,ARG,Female,2019,79.91026128
COUNTRY,PNG,Both,2019,66.67377821
WORLDBANKINCOMEGROUP,WB_LI,Both,2007,58.89891622
COUNTRY,MEX,Male,2000,71.73134862
COUNTRY,ARG,Male,2002,70.54896234
COUNTRY,SYC,Female,2019,76.65300423
COUNTRY,MYS,Both,2001,73.51935373
COUNTRY,BIH,Female,2013,79.69020842
COUNTRY,GHA,Both,2011,62.58287212
COUNTRY,CIV,Both,2021,63.5174083
COUNTRY,ZAF,Both,2011,59.100348
COUNTRY,NAM,Both,2003,51.39447349
COUNTRY,ITA,Male,2010,79.37573307
COUNTRY,ARG,Female,2014,79.65047524
COUNTRY,GHA,Female,2000,60.41837545
COUNTRY,GNQ,Male,2001,53.4789834
COUNTRY,AGO,Both,2008,56.22016209
COUNTRY,BOL,Both,2000,66.09385895
COUNTRY,NIC,Male,2005,72.61163038
COUNTRY,WSM,Female,2008,72.1299141
COUNTRY,NAM,Both,2015,61.8615054
COUNTRY,TJK,Male,2014,70.24014041
COUNTRY,BOL,Female,2012,71.91604026
COUNTRY,LVA,Both,2004,70.8139625
COUNTRY,UZB,Both,2015,69.42591804
COUNTRY,GNB,Both,2004,51.76786398
GLOBAL,GLOBAL,Male,2005,65.94122258
COUNTRY,NIC,Both,2015,78.26048387
REGION,WPR,Female,2011,78.85164229
